shortDescription,company,vuln_type
Unspecified vulnerability in hotspot for Java Runtime Environment (JRE) allows remote attackers to affect integrity.,Unspecified,
Unspecified vulnerability in the Java Runtime Environment (JRE) component in Oracle allows remote attackers to bypass the Java security sandbox.,Unspecified,
A vulnerability in the way Java restricts the permissions of Java applets could allow an attacker to execute commands on a vulnerable system.,,
"Microsoft Silverlight does not properly validate pointers during HTML object rendering, which allows remote attackers to execute code via a crafted Silverlight application.",Microsoft Silverlight,
"Unspecified vulnerability in the Oracle WebCenter Forms Recognition component in Oracle Fusion Middleware allows remote attackers to affect confidentiality, integrity, and availability via Unknown vectors related to Designer.",Unspecified,
"Unauthenticated access to the JBoss Application Server Web Console (/web-console) is blocked by default. However, it was found that this block was incomplete, and only blocked GET and POST HTTP verbs. A remote attacker could use this flaw to gain access to sensitive information.",Unauthenticated,Information Disclosure
"Unspecified vulnerability in the Java Runtime Environment (JRE) in Java SE component allows remote attackers to affect confidentiality, integrity, and availability via Unknown vectors.",Unspecified,
"The JMX-Console web application in JBossAs in Red Hat JBoss Enterprise Application Platform performs access control only for the GET and POST methods, which allows remote attackers to send requests to this application's GET handler by using a different method.",JMX-Console,
A privilege escalation vulnerability exists when the Windows kernel fails to properly handle objects in memory.,,Privilege Escalation
A cross-site scripting vulnerability affecting QNAP NAS File Station could allow remote attackers to inject malicious code.,,Cross-Site Scripting
A command injection vulnerability affecting QNAP NAS File Station could allow remote attackers to run commands.,,Command Injection
A cross-site scripting vulnerability affecting QNAP NAS File Station could allow remote attackers to inject malicious code.,,Cross-Site Scripting
The SMBv1 server in Microsoft Windows allows remote attackers to obtain sensitive information from process memory via a crafted packet.,SMBv1,Information Disclosure
"Microsoft XML Core Services (MSXML) improperly handles objects in memory, allowing attackers to test for files on disk via a crafted web site.",Microsoft XML Core Services,
The Graphics Device Interface (GDI) in Microsoft Windows allows local users to gain privileges via a crafted application.,Graphics Device Interface,
Microsoft Internet Explorer contains a memory corruption vulnerability that allows remote attackers to execute code or cause a denial-of-service (DoS) via a crafted website.,Microsoft Internet Explorer,Denial of Service
"A privilege escalation vulnerability exists when Internet Explorer does not properly enforce cross-domain policies, which could allow an attacker to access information.",,Remote Code Execution
"Artifex Ghostscript allows -dSAFER bypass and remote command execution via .rsdparams type confusion with a ""/OutputFile.",Artifex Ghostscript,Remote Code Execution
Microsoft Windows allows an attacker to take control of the affected system when Windows Search fails to handle objects in memory.,Microsoft Windows,
ConnectWise ManagedITSync integration for Kaseya VSA is vulnerable to unauthenticated remote commands that allow full direct access to the Kaseya VSA database.,ConnectWise ManagedITSync,
An information disclosure vulnerability exists when Internet Explorer does not properly handle JavaScript. The vulnerability could allow an attacker to detect specific files on the user's computer.,An,Information Disclosure
An information disclosure vulnerability exists in the way that certain functions in Internet Explorer and Edge handle objects in memory. The vulnerability could allow an attacker to detect specific files on the user's computer.,An,Information Disclosure
The Apple iOS kernel allows attackers to obtain sensitive information from memory via a crafted application.,Apple,Information Disclosure
A memory corruption vulnerability in Apple iOS kernel allows attackers to execute code in a privileged context or cause a denial-of-service (DoS) via a crafted application.,,Denial of Service
"Apple iOS WebKit contains a memory corruption vulnerability that allows attackers to execute remote code or cause a denial-of-service (DoS) via a crafted web site. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",Apple,Denial of Service
A buffer overflow vulnerability in the Simple Network Management Protocol (SNMP) code of Cisco ASA software could allow an attacker to cause a reload of the affected system or to remotely execute code.,,Buffer Overflow
"A vulnerability in the command-line interface (CLI) parser of Cisco ASA software could allow an authenticated, local attacker to create a denial-of-service (DoS) condition or potentially execute code.",,Denial of Service
An information disclosure vulnerability exists when the Microsoft Internet Messaging API improperly handles objects in memory. An attacker who successfully exploited this vulnerability could allow the attacker to test for the presence of files on disk.,An,Information Disclosure
Cisco IOS XR software health check opens TCP port 6379 by default on activation. An attacker can connect to the Redis instance on the open port and allow access to the Redis instance that is running within the NOSi container.,Cisco IOS XR,
Android kernel contains a use-after-free vulnerability that allows for privilege escalation.,Android,Privilege Escalation
"Android kernel contains a race condition, which allows for a use-after-free vulnerability. Exploitation can allow for privilege escalation.",Android,Privilege Escalation
"Apple iOS, macOS, watchOS, and tvOS contain a memory corruption vulnerability that could allow for remote code execution.",Apple,Remote Code Execution
An elevation of privilege vulnerability exists in the way that the Windows Kernel handles objects in memory. An attacker who successfully exploited the vulnerability could execute code with elevated permissions.,An,
Microsoft Update Notification Manager contains an unspecified vulnerability that allows for privilege escalation.,Microsoft Update Notification Manager,Privilege Escalation
"Apple iOS, macOS, watchOS, and tvOS contain a memory corruption vulnerability that could allow for privilege escalation.",Apple,Privilege Escalation
Apple iOS contains a memory corruption vulnerability which could allow an attacker to perform remote code execution.,Apple,Remote Code Execution
An information disclosure vulnerability exists when Internet Explorer improperly handles objects in memory. An attacker who successfully exploited this vulnerability could test for the presence of files on disk.,An,Information Disclosure
Google Chrome Blink contains a heap use-after-free vulnerability that allows an attacker to potentially perform out of bounds memory access via a crafted HTML page.,Google Chrome Blink,an attacker to potentially perform out of bounds memory access via a crafted htm
"An information disclosure vulnerability exists in the way that the Windows SMB Server handles certain requests, which could lead to information disclosure from the server.",An,Information Disclosure
A local elevation of privilege vulnerability exists in how splwow64.exe handles certain calls. An attacker who successfully exploited the vulnerability could elevate privileges on an affected system from low-integrity to medium-integrity.,,
Google Chrome WebAudio contains a use-after-free vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page.,Google Chrome WebAudio,a remote attacker to potentially exploit heap corruption via a crafted html page
"Mozilla Firefox and Thunderbird contain a type confusion vulnerability that can occur when manipulating JavaScript objects due to issues in Array.pop, allowing for an exploitable crash.",Mozilla Firefox,
Mozilla Firefox and Thunderbird contain a sandbox escape vulnerability that could result in remote code execution.,Mozilla Firefox,Remote Code Execution
WebKitGTK contains a memory corruption vulnerability which can allow an attacker to perform remote code execution.,WebKitGTK,Remote Code Execution
A vulnerability in WhatsApp Desktop when paired with WhatsApp for iPhone allows cross-site scripting and local file reading.,,Cross-Site Scripting
"A privilege escalation vulnerability exists when the Windows AppX Deployment Extensions improperly performs privilege management, resulting in access to system files.",,Privilege Escalation
A privilege escalation vulnerability exists when Windows AppX Deployment Service (AppXSVC) improperly handles hard links.,,Privilege Escalation
Adobe Flash Player have a stack-based buffer overflow vulnerability that could lead to remote code execution.,Adobe Flash Player,Remote Code Execution
A privilege escalation vulnerability exists when Windows improperly handles calls to Win32k.sys. An attacker who successfully exploited this vulnerability could run remote code in the security context of the local system.,,Privilege Escalation
A command injection vulnerability in the CGI program of some Zyxel firewall versions could allow an attacker to modify specific files and then execute some OS commands on a vulnerable device.,,Command Injection
"Spring Cloud Gateway applications are vulnerable to a code injection attack when the Gateway Actuator endpoint is enabled, exposed and unsecured.",Spring Cloud Gateway,
"F5 BIG-IP contains a missing authentication in critical function vulnerability which can allow for remote code execution, creation or deletion of files, or disabling services.",F5 BIG-IP,Remote Code Execution
"A type confusion issue affecting multiple Apple products allows processing of maliciously crafted web content, leading to arbitrary code execution.",,
"A type confusion issue affecting multiple Apple products allows processing of maliciously crafted web content, leading to arbitrary code execution.",,
Microsoft Win32k contains an unspecified vulnerability that allows for privilege escalation.,Microsoft Win32k,Privilege Escalation
Use-after-free vulnerability in Microsoft Internet Explorer allows remote attackers to execute code.,Use-after-free,
"The TLS and DTLS implementations in OpenSSL do not properly handle Heartbeat Extension packets, which allows remote attackers to obtain sensitive information.",TLS,Information Disclosure
"Multiple WSO2 products allow for unrestricted file upload, resulting in remote code execution.",Multiple WSO2,Remote Code Execution
Microsoft Windows User Profile Service contains an unspecified vulnerability that allows for privilege escalation.,Microsoft Windows User Profile,Privilege Escalation
Microsoft Windows User Profile Service contains an unspecified vulnerability that allows for privilege escalation.,Microsoft Windows User Profile,Privilege Escalation
"Linux kernel contains an improper initialization vulnerability where an unprivileged local user could escalate their privileges on the system. This vulnerability has the moniker of ""Dirty Pipe.""",Linux,
Microsoft Win32k contains an unspecified vulnerability that allows for privilege escalation.,Microsoft Win32k,Privilege Escalation
Microsoft Win32k contains an unspecified vulnerability that allows for privilege escalation.,Microsoft Win32k,Privilege Escalation
"Jenkins Script Security Plugin contains a protection mechanism failure, allowing an attacker to bypass the sandbox.",Jenkins Script Security Plugin,
Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting vulnerability that might allow remote attackers to inject arbitrary web script or HTML.,Synacor Zimbra Collaboration Suite,Cross-Site Scripting
A buffer overflow vulnerability in WhatsApp VOIP stack allowed remote code execution via specially crafted series of RTCP packets sent to a target phone number.,,Remote Code Execution
Microsoft Windows Print Spooler contains an unspecified vulnerability which allow for privilege escalation.,Microsoft Windows Print Spooler,Privilege Escalation
"VMware Workspace ONE Access, Identity Manager and vRealize Automation contain a privilege escalation vulnerability due to improper permissions in support scripts.",VMware Workspace ONE Access,Privilege Escalation
"Google Chromium V8 Engine contains a type confusion vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google Chromium V8 Engine,a remote attacker to potentially exploit heap corruption via a crafted html page
"Multiple Crestron products are vulnerable to command injection via the file_transfer.cgi HTTP endpoint. A remote, unauthenticated attacker can use this vulnerability to execute operating system commands as root.",Multiple Crestron,Command Injection
The login_mgr.cgi script in D-Link DNS-320 is vulnerable to remote code execution.,The,Remote Code Execution
A SQL Injection vulnerability exists in U.motion Builder software which could cause unwanted code execution when an improper set of characters is entered.,SQL Injection,SQL Injection
The WAP interface in Trihedral VTScada (formerly VTS) allows remote attackers to cause a denial-of-service (DoS).,WAP,Denial of Service
"InduSoft Web Studio NTWebServer contains a directory traversal vulnerability that allows remote attackers to read administrative passwords in APP files, allowing for remote code execution.",InduSoft Web Studio NTWebServer,Remote Code Execution
Certain Ubiquiti devices contain a command injection vulnerability via a GET request to stainfo.cgi.,Certain Ubiquiti,Command Injection
masterCGI in the Unified Maintenance Tool in Alcatel OmniPCX Enterprise Communication Server allows remote attackers to execute arbitrary commands.,,
VMware Workspace ONE Access and Identity Manager allow for remote code execution due to server-side template injection.,VMware Workspace ONE Access,Remote Code Execution
Microsoft Windows Common Log File System (CLFS) Driver contains an unspecified vulnerability that allows for privilege escalation.,Microsoft Windows Common Log,Privilege Escalation
A remote code execution vulnerability exists within multiple subsystems of Drupal that can allow attackers to exploit multiple attack vectors on a Drupal site.,,Remote Code Execution
Kaseya VSA RMM allows unprivileged remote attackers to execute PowerShell payloads on all managed devices.,Kaseya VSA RMM,
Use-after-free vulnerability in the BitmapData class in the ActionScript 3 (AS3) implementation in Adobe Flash Player allows remote attackers to execute code or cause a denial-of-service (DoS).,Use-after-free,Denial of Service
Use-after-free vulnerability in the DisplayObject class in the ActionScript 3 (AS3) implementation in Adobe Flash Player allows remote attackers to execute code or cause a denial-of-service (DoS).,Use-after-free,Denial of Service
Heap-based buffer overflow vulnerability in Adobe Flash Player allows remote attackers to execute code.,Heap-based,Buffer Overflow
Microsoft Internet Explorer contains a memory corruption vulnerability that allows an attacker to execute code or cause a denial-of-service (DoS).,Microsoft Internet Explorer,Denial of Service
Use-after-free vulnerability in Adobe Flash Player allows remote attackers to execute code.,Use-after-free,
Unspecified vulnerability in Adobe Flash Player allows remote attackers to execute code.,Unspecified,
Stack-based buffer overflow in Adobe Flash Player allows attackers to execute code remotely.,Stack-based,Buffer Overflow
WatchGuard Firebox and XTM appliances allow a remote attacker with unprivileged credentials to access the system with a privileged management session via exposed management access.,WatchGuard Firebox,
Microsoft Active Directory Domain Services contains an unspecified vulnerability that allows for privilege escalation.,Microsoft Active Directory Domain,Privilege Escalation
Microsoft Active Directory Domain Services contains an unspecified vulnerability that allows for privilege escalation.,Microsoft Active Directory Domain,Privilege Escalation
Google Pixel contains a possible out-of-bounds write due to a logic error in the code that could lead to local escalation of privilege.,Google Pixel,
Deserialization of Untrusted Data vulnerability in CheckboxWeb.dll of Checkbox Survey allows an unauthenticated remote attacker to execute arbitrary code.,Deserialization,Remote Code Execution
Linux Kernel contains a flaw in the packet socket (AF_PACKET) implementation which could lead to incorrectly freeing memory. A local user could exploit this for denial-of-service (DoS) or possibly for privilege escalation.,Linux Kernel,Privilege Escalation
QNAP NAS devices contain a command injection vulnerability which could allow attackers to perform remote code execution.,QNAP NAS,Remote Code Execution
Telerik.Web.UI in Progress Telerik UI for ASP.NET AJAX allows remote attackers to perform arbitrary file uploads or execute arbitrary code.,Telerik.Web.UI,Remote Code Execution
"Sudo contains an off-by-one error that can result in a heap-based buffer overflow, which allows for privilege escalation.",Sudo,Buffer Overflow
Microsoft HTTP Protocol Stack contains a vulnerability in http.sys that allows for remote code execution.,Microsoft HTTP Protocol Stack,Remote Code Execution
The SMBv1 server in Microsoft allows remote attackers to execute arbitrary code via crafted packets.,SMBv1,Remote Code Execution
Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to remote code execution (RCE) via data binding.,Spring MVC,Remote Code Execution
macOS Monterey contains an out-of-bounds write vulnerability that could allow an application to execute arbitrary code with kernel privileges.,,Remote Code Execution
macOS Monterey contains an out-of-bounds read vulnerability that could allow an application to read kernel memory.,,
A remote code execution vulnerability exists in all series H/W revisions routers via the DDNS function in ncc2 binary file.,,Remote Code Execution
An arbitrary file upload vulnerability in Trend Micro Apex Central could allow for remote code execution.,An,Remote Code Execution
An authentication bypass vulnerability in User Portal and Webadmin of Sophos Firewall allows for remote code execution.,An,Remote Code Execution
Microsoft Windows User Profile Service contains an unspecified vulnerability that allows for privilege escalation.,Microsoft Windows User Profile,Privilege Escalation
QNAP NAS running HBS 3 contains an improper authorization vulnerability which can allow remote attackers to log in to a device.,QNAP NAS,
"Dell dbutil driver contains an insufficient access control vulnerability which may lead to escalation of privileges, denial-of-service (DoS), or information disclosure.",Dell,Information Disclosure
"Dasan GPON Routers contain an authentication bypass vulnerability. When combined with CVE-2018-10561, exploitation can allow an attacker to perform remote code execution.",Dasan GPON Routers,Remote Code Execution
"Dasan GPON Routers contain an authentication bypass vulnerability. When combined with CVE-2018-10562, exploitation can allow an attacker to perform remote code execution.",Dasan GPON Routers,Remote Code Execution
"Google Chromium V8 Engine contains a type confusion vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google Chromium V8 Engine,a remote attacker to potentially exploit heap corruption via a crafted html page
"Redis is prone to a (Debian-specific) Lua sandbox escape, which could result in remote code execution.",Redis,Remote Code Execution
Microsoft Office Access Connectivity Engine contains an unspecified vulnerability which can allow for remote code execution.,Microsoft Office Access Connectivity,Remote Code Execution
Microsoft Windows Event Tracing contains an unspecified vulnerability which can allow for privilege escalation.,Microsoft Windows Event Tracing,Privilege Escalation
Affected versions of Atlassian Confluence Server allow remote attackers to view restricted resources via a pre-authorization arbitrary file read vulnerability in the /s/ endpoint.,Affected,Remote Code Execution
SonicWall Secure Remote Access (SRA) products contain an improper neutralization of a SQL Command leading to SQL injection.,SonicWall Secure Remote Access,SQL Injection
"In SonicWall SMA100, an unauthenticated Directory Traversal vulnerability in the handleWAFRedirect CGI allows the user to test for the presence of a file on the server.",In SonicWall SMA100,Directory Traversal
An elevation of privilege vulnerability exists when Windows improperly handles calls to Advanced Local Procedure Call (ALPC).,An,
An elevation of privilege vulnerability exists when the DirectX Graphics Kernel (DXGKRNL) driver improperly handles objects in memory.,An,
An elevation of privilege vulnerability exists when the DirectX Graphics Kernel (DXGKRNL) driver improperly handles objects in memory.,An,
Microsoft Windows COM Aggregate Marshaler allows for privilege escalation when an attacker runs a specially crafted application.,Microsoft Windows COM Aggregate,Privilege Escalation
Microsoft Internet Explorer allow remote attackers to obtain sensitive information from process memory via a crafted web site.,Microsoft Internet Explorer,Information Disclosure
"Microsoft Edge and Internet Explorer have a type confusion vulnerability in mshtml.dll, which allows remote code execution.",Microsoft Edge,Remote Code Execution
The Chakra JavaScript scripting engine in Microsoft Edge allows remote attackers to execute remote code or cause a denial of service (memory corruption) via a crafted web site.,Chakra JavaScript,Denial of Service
The Chakra JavaScript scripting engine in Microsoft Edge allows remote attackers to execute remote code or cause a denial of service (memory corruption) via a crafted web site.,Chakra JavaScript,Denial of Service
"The Microsoft JScript nd VBScript engines, as used in Internet Explorer and other products, allow attackers to execute remote code or cause a denial of service (memory corruption) via a crafted web site.",Microsoft JScript,Denial of Service
"The Client-Server Run-time Subsystem (CSRSS) in Microsoft mismanages process tokens, which allows local users to gain privileges via a crafted application.",Client-Server Run-time Subsystem,
The kernel in Microsoft Windows allows local users to gain privileges via a crafted application.,The,
A remote code execution vulnerability exists in Microsoft Windows when the Windows Adobe Type Manager Library improperly handles specially crafted OpenType fonts.,,Remote Code Execution
JScript in Microsoft Internet Explorer allows remote attackers to execute remote code or cause a denial of service (memory corruption) via a crafted web site.,JScript,Denial of Service
Microsoft Office allows remote attackers to execute arbitrary code via a crafted Office document.,Microsoft Office,Remote Code Execution
"The EPATHOBJ::pprFlattenRec function in win32k.sys in the kernel-mode drivers in Microsoft does not properly initialize a pointer for the next object in a certain list, which allows local users to gain privileges.",EPATHOBJ,
Integer overflow vulnerability in Adobe Reader and Acrobat allows attackers to execute remote code.,Integer,
Use-after-free vulnerability in Microsoft Internet Explorer allows remote attackers to execute remote code via a crafted web site that triggers access to a deleted object.,Use-after-free,
"Unspecified vulnerability in the Java Runtime Environment (JRE) component in Oracle Java SE allows remote attackers to affect confidentiality, integrity, and availability via Unknown vectors related to 2D",Unspecified,
"Mozilla Firefox and Thunderbird do not properly handle onreadystatechange events in conjunction with page reloading, which allows remote attackers to cause a denial-of-service (DoS) or possibly execute malicious code via a crafted web site.",Mozilla Firefox,Denial of Service
The default Java security properties configuration did not restrict access to the com.sun.org.glassfish.external and com.sun.org.glassfish.gmbal packages. An untrusted Java application or applet could use these flaws to bypass Java sandbox restrictions.,The,
Microsoft Word allows attackers to execute remote code or cause a denial-of-service (DoS) via crafted RTF data.,Microsoft Word,Denial of Service
Adobe Flash Player contains a memory corruption vulnerability that allows for remote code execution or denial-of-service (DoS).,Adobe Flash Player,Remote Code Execution
Unspecified vulnerability in the Oracle Application Server Single Sign-On component in Oracle Fusion Middleware allows remote attackers to affect integrity via Unknown vectors,Unspecified,
"afd.sys in the Ancillary Function Driver in Microsoft Windows does not properly validate user-mode input passed to kernel mode, which allows local users to gain privileges via a crafted application.",,
"Stack-based buffer overflow in the RtlQueryRegistryValues function in win32k.sys in Microsoft Windows allows local users to gain privileges, and bypass the User Account Control (UAC) feature.",Stack-based,Buffer Overflow
"On WatchGuard Firebox and XTM appliances, an unauthenticated user can execute arbitrary code.",On WatchGuard Firebox,Remote Code Execution
"A vulnerability has been identified in MiCollab and MiVoice Business Express that may allow a malicious actor to gain unauthorized access to sensitive information and services, cause performance degradations or a denial of service condition on the affected system.",,Information Disclosure
Microsoft Windows Print Spooler contains an unspecified vulnerability which can allow for privilege escalation.,Microsoft Windows Print Spooler,Privilege Escalation
Sitcore XP contains an insecure deserialization vulnerability which can allow for remote code execution.,Sitcore XP,Remote Code Execution
Improper Access Control in Citrix ShareFile storage zones controller may allow an unauthenticated attacker to remotely compromise the storage zones controller.,Improper Access Control,
D-Link DIR-610 devices allow remote code execution via the cmd parameter to command.php.,D-Link DIR-610,Remote Code Execution
"Multiple Zyxel network-attached storage (NAS) devices contain a pre-authentication command injection vulnerability, which may allow a remote, unauthenticated attacker to execute arbitrary code.",Multiple Zyxel,Remote Code Execution
"smtp_mailaddr in smtp_session.c in OpenSMTPD, as used in OpenBSD and other products, allows remote attackers to execute arbitrary commands as root via a crafted SMTP session.",,
"Spring, by VMware Tanzu, Cloud Config contains a path traversal vulnerability that allows applications to serve arbitrary configuration files.",VMware Tanzu,Directory Traversal
A remote code execution vulnerability exists in the WebAdmin of Sophos SG UTM.,,Remote Code Execution
QNAP Helpdesk contains an improper access control vulnerability which could allow an attacker to gain privileges or to read sensitive information.,QNAP Helpdesk,Information Disclosure
Palo Alto Networks PAN-OS contains a vulnerability in SAML which allows an attacker to bypass authentication.,Palo Alto Networks PAN-OS,Authentication Bypass
Apache Kylin contains an OS command injection vulnerability which could permit an attacker to perform remote code execution.,Apache Kylin,Remote Code Execution
"A path traversal vulnerability in the HTTP/HTTPS service used by J-Web, Web Authentication, Dynamic-VPN (DVPN), Firewall Authentication Pass-Through with Web-Redirect, and Zero Touch Provisioning (ZTP) allows an unauthenticated attacker to perform remote code execution.",J-Web,Remote Code Execution
"In Drupal Core, some field types do not properly sanitize data from non-form sources. This can lead to arbitrary PHP code execution in some cases.",In Drupal Core,Remote Code Execution
"Oracle BI Publisher, formerly XML Publisher, contains an unspecified vulnerability that allows for various unauthorized actions. Open-source reporting attributes this vulnerability to allowing for authentication bypass.",Oracle BI Publisher,Remote Code Execution
Multiple D-Link routers contain a command injection vulnerability which can allow attackers to achieve full system compromise.,Multiple D-Link,Command Injection
An issue was discovered in Webmin. The parameter old in password_change.cgi contains a command injection vulnerability.,An,Command Injection
Authenticated Command Injection in Citrix SD-WAN Appliance and NetScaler SD-WAN Appliance.,Authenticated Command Injection,Command Injection
Citrix SD-WAN and NetScaler SD-WAN allow SQL Injection.,Citrix SD-WAN,SQL Injection
"In some versions of PHP in certain configurations of FPM setup, it is possible to cause FPM module to write past allocated buffers allowing the possibility of remote code execution.",In,Remote Code Execution
Kentico contains a failure to validate security headers. This deserialization can led to unauthenticated remote code execution.,Kentico,Remote Code Execution
"Jenkins Matrix Project plugin contains a vulnerability which can allow users to escape the sandbox, opening opportunity to perform remote code execution.",Jenkins Matrix Project,Remote Code Execution
A remote code execution vulnerability exists in the way that the Windows Graphics Device Interface (GDI) handles objects in the memory. An attacker who successfully exploited this vulnerability could take control of the affected system.,,Remote Code Execution
A remote code execution vulnerability exists when the Windows Shell does not properly validate file paths.,,Remote Code Execution
A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer.,,Remote Code Execution
VMware SD-WAN Edge by VeloCloud contains a command injection vulnerability in the local web UI component. Successful exploitation of this issue could result in remote code execution.,VMware SD-WAN Edge,Remote Code Execution
LG N1A1 NAS 3718.510 is affected by a remote code execution vulnerability.,LG N1A1 NAS,Remote Code Execution
Spring Data Commons contains a property binder vulnerability which can allow an attacker to perform remote code execution.,Spring Data Commons,Remote Code Execution
The '/common/download_agent_installer.php' script in the Quest KACE System Management Appliance is accessible by anonymous users and can be abused to perform remote code execution.,The,Remote Code Execution
"A vulnerability in Java deserialization used by Cisco Secure Access Control System (ACS) could allow an unauthenticated, remote attacker to execute arbitrary commands on an affected device. The vulnerability is due to insecure deserialization of user-supplied content by the affected software.",,
"A vulnerability in the web interface of the Cisco VPN Routers could allow an unauthenticated, remote attacker to execute arbitrary code as root and gain full control of an affected system.",,Remote Code Execution
dnslookup.cgi on NETGEAR DGN2200 devices with firmware through 10.0.0.50 allows remote authenticated users to execute arbitrary OS commands,,
"A vulnerability has been identified in the management interface of Citrix NetScaler SD-WAN Enterprise and Standard Edition and Citrix CloudBridge Virtual WAN Edition that could result in an unauthenticated, remote attacker being able to execute arbitrary code as a root user. This vulnerability also affects XenMobile Server.",,Remote Code Execution
"A vulnerability in the Cisco Cluster Management Protocol (CMP) processing code in Cisco IOS and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause a reload of an affected device or remotely execute code with elevated privileges.",,
"When running Apache Tomcat, it is possible to upload a JSP file to the server via a specially crafted request. This JSP could then be requested and any code it contained would be executed by the server.",When,
"When running Apache Tomcat on Windows with HTTP PUTs enabled, it is possible to upload a JSP file to the server via a specially crafted request. This JSP could then be requested and any code it contained would be executed by the server.",When,
The SMBv1 server in Microsoft Windows allows remote attackers to perform remote code execution.,SMBv1,Remote Code Execution
Adobe Flash Player has an exploitable use-after-free vulnerability in the TextField class.,Adobe Flash Player,
Unspecified vulnerability in Adobe Flash Player allows for remote code execution.,Unspecified,Remote Code Execution
Multiple NETGEAR Wireless Access Point devices allows unauthenticated web pages to pass form input directly to the command-line interface. Exploitation allows for arbitrary code execution.,Multiple NETGEAR Wireless Access,
setSystemCommand on D-Link DCS-930L devices allows a remote attacker to execute code via an OS command.,,
The NETGEAR WNR2000v5 router contains a buffer overflow which can be exploited to achieve remote code execution.,NETGEAR WNR2000v5,Remote Code Execution
Directory traversal vulnerability in Action View in Ruby on Rails allows remote attackers to read arbitrary files.,Directory,Directory Traversal
Directory traversal vulnerability in Arcserve UDP allows remote attackers to obtain sensitive information or cause a denial of service.,Directory,Information Disclosure
Directory traversal vulnerability in multiple TP-Link Archer devices allows remote attackers to read arbitrary files via a .. (dot dot) in the PATH_INFO to login/.,Directory,Directory Traversal
The Groovy scripting engine in Elasticsearch allows remote attackers to bypass the sandbox protection mechanism and execute arbitrary shell commands.,Groovy,
The ping tool in multiple D-Link and TRENDnet devices allow remote attackers to perform remote code execution.,The,Remote Code Execution
Directory traversal vulnerability in the fmserver servlet in Cisco Prime Data Center Network Manager (DCNM) allows remote attackers to read arbitrary files.,Directory,Directory Traversal
OleAut32.dll in OLE in Microsoft Windows allows remote attackers to remotely execute code via a crafted web site.,OleAut32.dll,
The Kerberos Key Distribution Center (KDC) in Microsoft allows remote authenticated domain users to obtain domain administrator privileges.,Kerberos Key Distribution Center,
The findMacroMarker function in parserLib.pas in Rejetto HTTP File Server (HFS or HttpFileServer) allows remote attackers to execute arbitrary programs.,The,
"Elasticsearch enables dynamic scripting, which allows remote attackers to execute arbitrary MVEL expressions and Java code.",Elasticsearch,
Directory traversal vulnerability in actionpack/lib/abstract_controller/base.rb in the implicit-render implementation in Ruby on Rails allows remote attackers to read arbitrary files via a crafted request.,Directory,Directory Traversal
"A cross-site scripting (XSS) vulnerability exists in the D-Link DSL-2760U gateway, allowing remote authenticated users to inject arbitrary web script or HTML.",,Cross-Site Scripting
"HP ProCurve Manager (PCM), PCM+, Identity Driven Manager (IDM), and Application Lifecycle Management allow remote attackers to execute arbitrary code via a marshalled object to (1) EJBInvokerServlet or (2) JMXInvokerServlet.",HP ProCurve Manager,Remote Code Execution
Apache Struts allows remote attackers to execute arbitrary Object-Graph Navigation Language (OGNL) expressions.,Apache Struts,
"sapi/cgi/cgi_main.c in PHP, when configured as a CGI script, does not properly handle query strings, which allows remote attackers to execute arbitrary code.",,Remote Code Execution
Exim allows local users to gain privileges by leveraging the ability of the exim user account to specify an alternate configuration file with a directive that contains arbitrary commands.,Exim,
Heap-based buffer overflow in the string_vformat function in string.c in Exim before 4.70 allows remote attackers to execute arbitrary code via an SMTP session.,Heap-based,Remote Code Execution
"Cisco IOS XR, when BGP is the configured routing feature, allows remote attackers to cause a denial-of-service (DoS).",Cisco IOS XR,Denial of Service
A directory traversal vulnerability exists in the administrator console in Adobe ColdFusion which allows remote attackers to read arbitrary files.,,Directory Traversal
"Cisco IOS XR,when BGP is the configured routing feature, allows remote attackers to cause a denial-of-service (DoS).",Cisco IOS XR,Denial of Service
Setup script used to generate configuration can be fooled using a crafted POST request to include arbitrary PHP code in generated configuration file.,Setup,
Stack-based buffer overflow in Adobe Reader and Adobe Acrobat allows remote attackers to execute arbitrary code.,Stack-based,Remote Code Execution
HP OpenView Network Node Manager could allow a remote attacker to execute arbitrary commands on the system.,HP OpenView Network Node,
A buffer overflow vulnerability in SonicOS allows a remote attacker to cause Denial of Service (DoS) and potentially execute arbitrary code by sending a malicious request to the firewall.,,Remote Code Execution
A privilege escalation vulnerability exists when the Windows UPnP service improperly allows COM object creation.,,Privilege Escalation
A privilege escalation vulnerability exists when Windows improperly handles authentication requests. An attacker who successfully exploited this vulnerability could run processes in an elevated context.,,Privilege Escalation
